,feature,importance
388,PJM_PSEG_DACONG_lag168,7.9267484e-05
416,PJM_BGE_DACONG_lag24,7.8624726e-05
407,PJM_COMED_DACONG_wow_change,7.8132405e-05
142,peco_forecast_error_lag24,7.808912e-05
159,miso_load_lag24,7.792144e-05
100,PJM_N_ILLINOIS_HUB_DA_LMP_LAG48,7.7676435e-05
143,bge_load_share_forecast,7.745762e-05
6,CLOUD_COVER_Washington_DC,7.736666e-05
406,PJM_COMED_DACONG_lag168,7.722013e-05
120,solar_ramp_3h,7.6724544e-05
134,pseg_load_share_forecast,7.664185e-05
88,PJM_EASTERN_HUB_DA_LMP_LAG48,7.657141e-05
109,PJM_BGE_DA_LMP_LAG48,7.5430384e-05
304,MIDATLANTIC_reserve_stress,7.457499e-05
9,CLOUD_COVER_Dayton,7.450604e-05
184,price_cv_lag24,7.4167554e-05
394,PJM_AEP_DAYTON_HUB_DACONG_lag168,7.3058174e-05
147,penelec_forecast_error,7.293436e-05
97,PJM_AEP_DAYTON_HUB_DA_LMP_LAG48,7.2592855e-05
117,solar_gen,7.2373354e-05
369,PJM_WESTERN_HUB_DACONG_lag48,7.173612e-05
169,high_load,7.0897855e-05
356,temp_avg_lag168,7.012578e-05
7,CLOUD_COVER_Chicago_Midway,6.9585134e-05
34,PJM_PSEG_LOAD_FORECAST,6.827302e-05
425,west_east_congestion_spread_lag24,6.8013775e-05
411,PJM_PECO_DACONG_lag48,6.800018e-05
11,CLOUD_COVER_Atlanta,6.7223125e-05
18,PRECIP_Washington_DC,6.655067e-05
74,cloud_cover_lag24,6.61555e-05
114,west_east_spread_lag24,6.6037355e-05
146,penelec_load_share_forecast,6.58741e-05
20,PRECIP_Baltimore,6.5619184e-05
395,PJM_AEP_DAYTON_HUB_DACONG_wow_change,6.445118e-05
182,price_dispersion_lag24,6.427561e-05
126,load_forecast_error_lag168,6.267799e-05
129,comed_forecast_error,6.255971e-05
417,PJM_BGE_DACONG_lag48,6.238649e-05
144,bge_forecast_error,6.122458e-05
22,PRECIP_Richmond,6.0672064e-05
23,PRECIP_Atlanta,6.031319e-05
380,PJM_DOMINION_HUB_DACONG_lag24,5.985848e-05
103,PJM_COMED_DA_LMP_LAG48,5.867906e-05
371,PJM_WESTERN_HUB_DACONG_wow_change,5.7280355e-05
130,comed_forecast_error_lag24,5.707481e-05
138,dominion_forecast_error,5.646744e-05
118,solar_ramp_1h,5.590652e-05
419,PJM_BGE_DACONG_wow_change,5.5883986e-05
71,cooling_degrees_lag24,5.5633333e-05
39,NYISO_LOAD_FORECAST_DA,5.5130375e-05
47,quarter,5.497384e-05
68,temp_change_1h,5.4768647e-05
21,PRECIP_Dayton,5.34552e-05
180,east_west_avg_spread_lag24,5.2918935e-05
139,dominion_forecast_error_lag24,5.271041e-05
393,PJM_AEP_DAYTON_HUB_DACONG_lag48,5.2543528e-05
377,PJM_EASTERN_HUB_DACONG_wow_change,5.230918e-05
52,month_cos,5.1367315e-05
141,peco_forecast_error,5.0189166e-05
105,PJM_PECO_DA_LMP_LAG24,4.8100257e-05
79,high_humidity,4.391855e-05
392,PJM_AEP_DAYTON_HUB_DACONG_lag24,4.3846667e-05
152,eastern_load_forecast,4.245255e-05
381,PJM_DOMINION_HUB_DACONG_lag48,4.179379e-05
428,congestion_concentration,4.1056242e-05
313,EKPC_reserve_stress,3.8783393e-05
383,PJM_DOMINION_HUB_DACONG_wow_change,3.618195e-05
55,is_weekend,3.297393e-05
82,heavy_rain,3.114617e-05
80,precip_total,2.9861776e-05
232,low_unsched_capacity,2.7896369e-05
19,PRECIP_Chicago_Midway,2.725032e-05
81,is_raining,2.6636064e-05
341,is_month_end,1.4416772e-05
297,low_reserve_warning,0.0
83,weather_stress_score,0.0
58,is_summer,0.0
66,extreme_cold,0.0
67,extreme_heat,0.0
338,low_reserve_high_load,0.0
337,capacity_weather_stress,0.0
330,extreme_system_stress,0.0
271,OS_CALC_RESERVE_DAYTON_lag24,0.0
329,high_system_stress,0.0
328,stress_level_extreme,0.0
327,stress_level_high,0.0
320,extreme_reserve_stress,0.0
309,DAYTON_reserve_stress,0.0
228,tight_capacity,0.0
298,critical_reserve_warning,0.0
230,critical_capacity,0.0
240,extreme_capacity_stress,0.0
229,very_tight_capacity,0.0
