,feature,importance
106,PJM_PECO_DA_LMP_LAG48,9.681332e-05
144,bge_forecast_error,9.667832e-05
63,temp_spread,9.499727e-05
385,PJM_DOMINION_HUB_DACONG_lag24,9.443541e-05
404,PJM_N_ILLINOIS_HUB_DACONG_lag48,9.373966e-05
180,east_west_avg_spread_lag24,9.3493225e-05
20,PRECIP_Baltimore,9.32683e-05
142,peco_forecast_error_lag24,9.3082854e-05
39,NYISO_LOAD_FORECAST_DA,9.071118e-05
237,max_unsched_zone_capacity,9.069391e-05
184,price_cv_lag24,9.034466e-05
183,max_price_spread_lag24,9.021361e-05
350,price_lag_48h,8.991309e-05
120,solar_ramp_3h,8.8646986e-05
139,dominion_forecast_error_lag24,8.797009e-05
23,PRECIP_Atlanta,8.770596e-05
375,PJM_WESTERN_HUB_DACONG_lag168,8.7416855e-05
399,PJM_AEP_DAYTON_HUB_DACONG_lag168,8.735765e-05
313,COMED_reserve_stress,8.6699576e-05
422,PJM_BGE_DACONG_lag48,8.5987245e-05
143,bge_load_share_forecast,8.564728e-05
100,PJM_N_ILLINOIS_HUB_DA_LMP_LAG48,8.4443e-05
381,PJM_EASTERN_HUB_DACONG_lag168,8.43336e-05
136,pseg_forecast_error_lag24,8.4325846e-05
415,PJM_PECO_DACONG_lag24,8.42091e-05
146,penelec_load_share_forecast,8.388667e-05
411,PJM_COMED_DACONG_lag168,8.381011e-05
19,PRECIP_Chicago_Midway,8.361473e-05
394,PJM_PSEG_DACONG_wow_change,8.357043e-05
392,PJM_PSEG_DACONG_lag48,8.350166e-05
306,reserve_rapid_decline,8.259224e-05
344,week_of_year,8.223566e-05
130,comed_forecast_error_lag24,8.154921e-05
117,solar_gen,8.072387e-05
74,cloud_cover_lag24,8.066151e-05
11,CLOUD_COVER_Atlanta,8.026792e-05
432,congestion_dispersion_lag24,7.929772e-05
71,cooling_degrees_lag24,7.881579e-05
379,PJM_EASTERN_HUB_DACONG_lag24,7.750179e-05
358,solar_gen_lag168,7.657537e-05
380,PJM_EASTERN_HUB_DACONG_lag48,7.645584e-05
131,aep_load_share_forecast,7.6284145e-05
116,west_nillinois_spread_lag24,7.609362e-05
138,dominion_forecast_error,7.599102e-05
154,east_west_load_ratio_forecast,7.497256e-05
352,price_lag_168h,7.4361815e-05
376,PJM_WESTERN_HUB_DACONG_wow_change,7.376634e-05
397,PJM_AEP_DAYTON_HUB_DACONG_lag24,7.223154e-05
121,solar_penetration,7.1870454e-05
416,PJM_PECO_DACONG_lag48,7.0405564e-05
433,congestion_concentration,7.017395e-05
87,PJM_EASTERN_HUB_DA_LMP_LAG24,6.996371e-05
118,solar_ramp_1h,6.90357e-05
374,PJM_WESTERN_HUB_DACONG_lag48,6.897883e-05
418,PJM_PECO_DACONG_wow_change,6.780534e-05
147,penelec_forecast_error,6.5750566e-05
398,PJM_AEP_DAYTON_HUB_DACONG_lag48,6.464485e-05
133,aep_forecast_error_lag24,6.42342e-05
34,PJM_PSEG_LOAD_FORECAST,6.413114e-05
410,PJM_COMED_DACONG_lag48,6.3276486e-05
148,penelec_forecast_error_lag24,6.244452e-05
22,PRECIP_Richmond,6.180317e-05
178,eastern_avg_price_lag24,6.14041e-05
400,PJM_AEP_DAYTON_HUB_DACONG_wow_change,6.091642e-05
114,west_east_spread_lag24,6.074243e-05
382,PJM_EASTERN_HUB_DACONG_wow_change,6.0171533e-05
9,CLOUD_COVER_Dayton,6.0013306e-05
430,west_east_congestion_spread_lag24,5.9483904e-05
386,PJM_DOMINION_HUB_DACONG_lag48,5.8913673e-05
388,PJM_DOMINION_HUB_DACONG_wow_change,5.831632e-05
315,DEOK_reserve_stress,5.7760357e-05
141,peco_forecast_error,5.7490422e-05
250,OS_CALC_RESERVE_RTO_change_pct_24h,5.7036254e-05
7,CLOUD_COVER_Chicago_Midway,5.618243e-05
124,load_forecast_error_abs,5.442503e-05
68,temp_change_1h,5.3657368e-05
21,PRECIP_Dayton,5.121378e-05
412,PJM_COMED_DACONG_wow_change,5.0439783e-05
309,MIDATLANTIC_reserve_stress,4.893761e-05
314,DAYTON_reserve_stress,4.2387772e-05
80,precip_total,4.018668e-05
346,is_month_end,3.601231e-05
170,low_load,1.2571673e-05
79,high_humidity,8.928639e-06
335,extreme_system_stress,0.0
230,critical_capacity,0.0
82,heavy_rain,0.0
83,weather_stress_score,0.0
67,extreme_heat,0.0
66,extreme_cold,0.0
228,tight_capacity,0.0
240,extreme_capacity_stress,0.0
229,very_tight_capacity,0.0
173,capacity_stress,0.0
302,low_reserve_warning,0.0
342,capacity_weather_stress,0.0
325,extreme_reserve_stress,0.0
232,low_unsched_capacity,0.0
303,critical_reserve_warning,0.0
348,near_holiday,0.0
343,low_reserve_high_load,0.0
332,stress_level_high,0.0
333,stress_level_extreme,0.0
334,high_system_stress,0.0
345,is_month_start,0.0
