,feature,importance
388,PJM_DOMINION_HUB_DACONG_wow_change,9.1509995e-05
147,penelec_forecast_error,9.1509464e-05
416,PJM_PECO_DACONG_lag48,8.9906316e-05
126,load_forecast_error_lag168,8.958664e-05
22,PRECIP_Richmond,8.789357e-05
317,DUQUESNE_reserve_stress,8.7685905e-05
374,PJM_WESTERN_HUB_DACONG_lag48,8.711867e-05
410,PJM_COMED_DACONG_lag48,8.559504e-05
397,PJM_AEP_DAYTON_HUB_DACONG_lag24,8.477554e-05
106,PJM_PECO_DA_LMP_LAG48,8.368553e-05
381,PJM_EASTERN_HUB_DACONG_lag168,8.3565996e-05
118,solar_ramp_1h,8.1898404e-05
125,load_forecast_error_lag24,8.118441e-05
144,bge_forecast_error,8.0702346e-05
100,PJM_N_ILLINOIS_HUB_DA_LMP_LAG48,8.028719e-05
142,peco_forecast_error_lag24,7.873385e-05
131,aep_load_share_forecast,7.8522084e-05
433,congestion_concentration,7.8194746e-05
78,humidity_index,7.7515826e-05
146,penelec_load_share_forecast,7.69433e-05
133,aep_forecast_error_lag24,7.660927e-05
379,PJM_EASTERN_HUB_DACONG_lag24,7.6385135e-05
398,PJM_AEP_DAYTON_HUB_DACONG_lag48,7.633866e-05
34,PJM_PSEG_LOAD_FORECAST,7.6211814e-05
136,pseg_forecast_error_lag24,7.5242155e-05
404,PJM_N_ILLINOIS_HUB_DACONG_lag48,7.48391e-05
9,CLOUD_COVER_Dayton,7.342224e-05
141,peco_forecast_error,7.333212e-05
315,DEOK_reserve_stress,7.194381e-05
94,PJM_PSEG_DA_LMP_LAG48,7.1519105e-05
178,eastern_avg_price_lag24,7.080248e-05
399,PJM_AEP_DAYTON_HUB_DACONG_lag168,6.956129e-05
386,PJM_DOMINION_HUB_DACONG_lag48,6.8825146e-05
394,PJM_PSEG_DACONG_wow_change,6.814341e-05
148,penelec_forecast_error_lag24,6.78584e-05
7,CLOUD_COVER_Chicago_Midway,6.78421e-05
114,west_east_spread_lag24,6.692526e-05
88,PJM_EASTERN_HUB_DA_LMP_LAG48,6.491163e-05
18,PRECIP_Washington_DC,6.3148575e-05
68,temp_change_1h,6.022674e-05
19,PRECIP_Chicago_Midway,5.9078622e-05
428,west_congestion_lag168,5.7348898e-05
80,precip_total,5.497378e-05
170,low_load,4.96984e-05
348,near_holiday,3.8325114e-05
345,is_month_start,3.0532072e-05
59,is_winter,2.6937196e-05
79,high_humidity,2.3286351e-05
82,heavy_rain,2.3148801e-05
58,is_summer,1.1108149e-06
335,extreme_system_stress,0.0
81,is_raining,0.0
343,low_reserve_high_load,0.0
83,weather_stress_score,0.0
342,capacity_weather_stress,0.0
303,critical_reserve_warning,0.0
333,stress_level_extreme,0.0
334,high_system_stress,0.0
302,low_reserve_warning,0.0
67,extreme_heat,0.0
332,stress_level_high,0.0
66,extreme_cold,0.0
228,tight_capacity,0.0
229,very_tight_capacity,0.0
232,low_unsched_capacity,0.0
240,extreme_capacity_stress,0.0
325,extreme_reserve_stress,0.0
230,critical_capacity,0.0
